Product Type,Temperature (°C),Humidity (%),Shock Level (g),Risk Level
Fruits,8.8,79.5,0.66,0
Milk,5.6,72.8,4.93,1
Milk,4.9,78.2,1.52,0
Eggs,6.4,68.1,2.47,0
Vegetables,11.6,80.8,2.79,1
Fruits,11.0,75.9,4.37,1
Milk,6.4,68.6,3.37,1
Meat,0.5,93.9,1.5,1
Meat,2.8,88.1,0.53,1
Vegetables,6.7,88.4,3.83,1
Milk,9.4,74.9,3.8,1
Milk,3.5,67.1,1.08,0
Eggs,2.7,68.3,2.43,0
Meat,6.7,83.5,4.9,1
Fruits,5.4,77.2,2.6,1
Eggs,2.6,64.8,4.82,1
Milk,7.9,60.5,3.71,1
Vegetables,9.9,97.6,2.15,1
Milk,2.5,89.2,4.93,1
Meat,8.0,92.4,0.85,1
Fruits,5.6,74.5,4.1,1
Eggs,4.2,57.7,3.34,1
Meat,0.2,93.9,1.85,1
Eggs,6.5,59.1,2.66,1
Vegetables,5.7,82.1,2.91,1
Fruits,10.1,84.6,4.64,1
Meat,5.5,92.0,4.01,1
Milk,4.6,68.1,1.89,0
Fruits,6.4,82.2,2.97,1
Vegetables,4.5,95.1,3.29,1
Meat,5.0,72.9,2.65,1
Vegetables,8.2,97.1,1.41,1
Milk,3.9,63.9,3.0,1
Meat,7.7,70.3,4.49,1
Fruits,9.5,80.3,4.61,1
Fruits,7.1,87.2,4.46,1
Eggs,9.7,58.5,4.76,1
Eggs,8.8,69.3,0.28,1
Milk,3.8,60.6,0.28,0
Vegetables,8.0,84.9,1.82,0
Meat,0.5,94.7,0.01,1
Vegetables,5.2,86.3,3.68,1
Meat,4.1,79.9,2.32,0
Eggs,6.8,50.8,3.44,1
Fruits,12.8,74.3,0.89,1
Meat,3.7,84.3,3.42,1
Milk,7.3,72.4,0.96,1
Meat,3.3,74.2,0.19,0
Meat,5.5,83.6,2.07,0
Eggs,6.5,65.8,0.41,0
Fruits,12.6,88.4,3.67,1
Meat,2.7,93.4,4.32,1
Milk,9.3,89.3,2.07,1
Eggs,5.8,64.4,0.68,0
Milk,2.4,86.1,4.91,1
Vegetables,2.1,86.8,2.92,1
Meat,4.1,88.3,2.6,1
Vegetables,2.8,84.1,3.61,1
Meat,5.2,80.8,4.83,1
Milk,8.4,62.8,0.93,1
Meat,3.0,87.7,1.6,1
Vegetables,5.8,83.5,4.48,1
Fruits,10.2,80.9,1.55,1
Vegetables,11.7,92.3,3.36,1
Meat,0.1,73.6,1.94,0
Milk,9.8,76.7,3.94,1
Fruits,12.0,89.8,1.22,1
Vegetables,3.2,85.5,0.81,1
Meat,4.3,83.7,3.75,1
Eggs,5.3,57.3,1.57,0
Eggs,9.4,55.2,3.46,1
Meat,5.5,70.7,2.9,1
Eggs,3.8,63.8,0.15,0
Meat,3.7,86.1,4.65,1
Fruits,5.9,85.5,4.02,1
Milk,6.1,86.9,4.86,1
Milk,6.4,63.7,2.66,1
Fruits,14.0,89.4,2.48,1
Vegetables,7.4,97.1,3.13,1
Eggs,6.4,57.2,0.53,0
Vegetables,4.6,83.2,0.77,0
Vegetables,2.3,97.8,2.26,1
Milk,2.6,64.1,1.83,0
Milk,5.7,74.1,4.52,1
Vegetables,7.8,88.1,3.91,1
Eggs,9.6,51.8,4.89,1
Vegetables,8.4,82.8,4.11,1
Eggs,5.0,50.5,3.09,1
Meat,1.6,82.6,3.3,1
Milk,9.3,82.3,4.75,1
Vegetables,10.0,80.1,0.22,1
Vegetables,2.5,86.1,2.89,1
Vegetables,10.0,97.2,4.25,1
Vegetables,11.8,94.9,2.12,1
Eggs,7.8,55.4,2.77,1
Fruits,13.5,83.6,2.76,1
Eggs,9.3,63.0,4.96,1
Eggs,9.1,62.6,1.7,1
Eggs,4.5,65.6,4.94,1
Eggs,7.6,57.5,0.81,1
Fruits,6.3,76.4,2.37,0
Meat,1.3,92.6,3.62,1
Vegetables,5.1,89.5,1.14,1
Eggs,6.1,62.6,0.18,0
Vegetables,6.8,97.6,0.77,1
Fruits,13.0,86.1,2.02,1
Milk,3.9,71.7,3.72,1
Vegetables,5.4,81.3,1.01,0
Milk,7.2,86.5,0.6,1
Fruits,10.0,80.3,2.01,1
Vegetables,4.8,92.4,4.72,1
Vegetables,7.3,89.4,4.87,1
Eggs,7.7,58.2,0.69,1
Eggs,8.3,51.7,2.16,1
Milk,3.9,68.4,0.01,0
Milk,4.6,63.2,2.95,1
Vegetables,7.0,81.7,0.9,0
Vegetables,11.1,90.0,1.74,1
Milk,2.7,75.7,1.91,0
Fruits,7.6,78.1,3.63,1
Meat,0.4,77.2,3.18,1
Meat,6.3,71.4,0.11,1
Eggs,7.2,55.5,2.68,1
Milk,3.1,67.9,0.79,0
Eggs,10.0,60.8,4.97,1
Fruits,6.3,76.5,1.06,0
Fruits,14.5,86.7,0.94,1
Vegetables,2.3,82.1,4.62,1
Eggs,9.0,68.5,3.82,1
Meat,0.6,82.5,1.41,0
Eggs,3.8,59.2,0.56,0
Milk,9.9,87.3,2.98,1
Vegetables,6.2,80.3,2.42,0
Meat,6.8,84.7,3.46,1
Eggs,8.6,66.9,3.97,1
Vegetables,7.4,91.4,3.11,1
Milk,7.5,65.2,1.51,1
Vegetables,3.2,80.0,1.03,0
Milk,8.5,68.1,2.99,1
Meat,4.8,80.1,1.4,0
Meat,2.8,77.0,0.3,0
Vegetables,7.3,94.2,3.93,1
Fruits,4.3,79.9,4.6,1
Meat,5.7,86.8,3.98,1
Fruits,12.6,78.3,4.27,1
Fruits,12.6,78.3,0.37,1
Eggs,6.0,66.9,3.02,1
Fruits,8.5,87.0,4.52,1
Fruits,7.9,72.3,2.25,0
Eggs,4.0,66.8,2.28,0
Eggs,7.5,52.4,1.52,1
Eggs,5.4,55.0,4.99,1
Vegetables,8.9,92.9,4.32,1
Vegetables,8.8,95.1,4.49,1
Milk,5.4,75.4,4.76,1
Eggs,6.2,62.6,2.8,1
Vegetables,8.3,84.8,0.91,1
Vegetables,9.9,94.9,2.23,1
Milk,8.0,85.6,4.86,1
Vegetables,5.7,88.0,4.55,1
Milk,6.4,82.8,3.46,1
Vegetables,9.0,88.6,0.05,1
Milk,8.5,73.9,3.95,1
Fruits,8.6,78.8,0.74,0
Milk,4.2,79.0,3.71,1
Fruits,4.1,78.4,0.02,0
Vegetables,2.0,88.1,3.89,1
Milk,7.3,65.1,2.43,1
Meat,2.5,78.4,0.2,0
Meat,2.2,82.9,0.86,0
Eggs,8.5,67.6,4.56,1
Vegetables,8.7,87.4,4.55,1
Fruits,12.9,88.7,2.83,1
Milk,3.5,73.2,3.14,1
Fruits,4.3,85.8,3.58,1
Eggs,8.2,56.2,2.57,1
Fruits,13.6,74.9,3.73,1
Meat,7.4,75.6,1.22,1
Milk,7.4,89.7,3.05,1
Vegetables,5.3,84.5,0.57,0
Fruits,14.1,70.9,3.77,1
Milk,8.9,84.6,3.8,1
Meat,0.9,89.1,2.58,1
Eggs,7.4,61.9,4.8,1
Milk,3.5,82.1,0.35,0
Vegetables,9.3,88.4,3.34,1
Meat,3.0,84.8,4.29,1
Eggs,8.8,59.8,2.68,1
Vegetables,6.3,94.7,0.35,1
Fruits,11.7,89.4,4.78,1
Meat,1.4,77.4,1.36,0
Milk,5.4,85.2,3.89,1
Eggs,3.5,58.6,4.51,1
Meat,2.7,86.5,2.36,1
Meat,0.4,81.4,4.97,1
Eggs,9.1,67.1,3.56,1
Milk,6.9,65.3,0.75,0
Vegetables,4.8,95.5,4.69,1
Fruits,9.2,81.4,2.64,1
Milk,4.9,71.5,4.75,1
Milk,9.2,67.5,4.05,1
Meat,2.0,92.4,4.83,1
Meat,7.3,79.2,4.36,1
Vegetables,2.1,86.0,2.93,1
Eggs,5.5,55.2,4.68,1
Milk,3.3,71.7,2.21,0
Vegetables,10.1,86.2,4.61,1
Eggs,8.5,58.8,4.27,1
Meat,2.9,87.0,4.84,1
Vegetables,11.4,85.7,0.26,1
Milk,4.5,66.4,2.08,0
Milk,3.5,73.0,2.69,1
Fruits,14.9,76.3,1.91,1
Meat,1.0,82.7,2.61,1
Milk,5.0,72.8,1.46,0
Vegetables,8.0,84.9,3.31,1
Eggs,9.1,64.2,1.56,1
Milk,9.2,72.3,4.48,1
Fruits,5.9,89.7,1.79,1
Milk,7.0,66.5,3.02,1
Milk,9.7,86.9,2.93,1
Eggs,3.1,56.7,4.68,1
Milk,5.9,71.3,3.32,1
Meat,6.0,80.9,0.36,0
Fruits,4.6,84.9,0.08,0
Milk,9.0,74.3,3.5,1
Vegetables,6.8,86.7,0.29,1
Milk,8.5,69.2,0.43,1
Milk,5.0,68.5,3.78,1
Vegetables,2.3,92.2,4.95,1
Fruits,5.8,74.4,1.85,0
Fruits,5.5,81.1,0.86,0
Eggs,4.9,52.4,2.6,1
Eggs,2.9,61.1,3.94,1
Fruits,5.4,86.6,0.72,1
Vegetables,5.7,82.2,2.29,0
Fruits,14.1,81.7,1.21,1
Vegetables,6.2,84.2,3.64,1
Eggs,6.3,53.1,1.33,0
Meat,7.7,73.6,0.78,1
Eggs,5.0,56.1,2.48,0
Fruits,9.5,80.6,1.15,1
Meat,7.2,79.4,1.51,1
Fruits,10.1,72.4,3.86,1
Vegetables,5.3,95.9,3.64,1
Eggs,9.7,59.1,1.91,1
Milk,8.2,74.5,1.3,1
Eggs,2.9,66.9,2.53,1
Vegetables,11.2,90.9,2.6,1
Eggs,9.1,65.4,4.56,1
Milk,7.6,63.4,0.88,1
Fruits,8.9,76.0,3.76,1
Meat,0.1,82.5,3.79,1
Milk,9.8,67.4,1.24,1
Meat,2.7,92.7,4.6,1
Fruits,11.7,78.8,2.83,1
Fruits,10.3,88.0,0.33,1
Meat,0.2,70.3,3.18,1
Milk,8.8,79.2,1.63,1
Milk,6.3,86.8,4.68,1
Vegetables,7.3,91.2,3.58,1
Eggs,3.9,54.7,3.52,1
Meat,5.0,87.9,0.4,1
Milk,5.9,62.8,2.78,1
Eggs,6.1,69.2,2.7,1
Fruits,7.0,82.1,1.18,0
Eggs,7.6,60.1,1.5,1
Fruits,7.8,88.7,3.09,1
Vegetables,4.1,92.2,4.97,1
Eggs,8.8,52.8,2.77,1
Fruits,11.4,72.9,1.27,1
Eggs,6.6,60.0,2.94,1
Eggs,6.4,64.5,2.79,1
Eggs,8.0,65.7,1.53,1
Meat,5.7,92.4,2.51,1
Fruits,9.0,71.4,0.81,0
Vegetables,7.0,83.6,4.35,1
Fruits,9.8,74.8,1.41,1
Fruits,6.9,75.4,2.94,1
Milk,7.5,81.9,3.41,1
Meat,6.0,93.5,4.53,1
Meat,2.1,74.8,4.75,1
Milk,9.5,77.3,4.85,1
Meat,4.0,75.6,3.1,1
Fruits,14.0,73.9,4.31,1
Milk,3.6,65.9,4.57,1
Vegetables,9.4,93.5,2.74,1
Meat,3.6,89.9,4.07,1
Vegetables,9.1,87.5,2.03,1
Eggs,8.9,68.3,4.89,1
Fruits,5.1,81.1,4.32,1
Meat,5.7,76.4,3.33,1
Eggs,2.9,61.3,3.84,1
Vegetables,3.2,86.5,3.65,1
Meat,3.7,78.7,1.21,0
Eggs,3.6,66.0,1.3,0
Fruits,13.5,76.5,2.68,1
Meat,1.4,93.2,0.88,1
Fruits,10.9,81.7,3.43,1
Fruits,10.6,79.5,3.76,1
Meat,1.1,84.4,2.12,0
Meat,5.8,76.6,2.87,1
Vegetables,4.6,95.8,4.35,1
Meat,4.3,78.5,3.08,1
Vegetables,10.1,86.6,0.17,1
Meat,1.8,94.9,2.96,1
Vegetables,3.8,94.0,4.35,1
Fruits,12.1,79.0,4.94,1
Vegetables,2.6,84.5,0.42,0
Vegetables,2.2,92.4,4.28,1
Fruits,14.8,83.6,0.51,1
Fruits,6.4,77.1,2.93,1
Milk,4.9,63.2,0.75,0
Meat,1.7,93.1,1.97,1
Meat,4.0,73.2,1.09,0
Eggs,5.0,55.4,4.69,1
Eggs,8.9,60.6,2.92,1
Fruits,8.6,73.1,2.36,0
Vegetables,2.7,84.4,2.21,0
Fruits,11.3,71.9,4.11,1
Eggs,2.1,58.5,4.43,1
Fruits,13.4,78.7,1.56,1
Vegetables,5.5,81.4,3.54,1
Eggs,4.1,61.7,0.44,0
Vegetables,3.2,92.0,0.48,1
Milk,4.5,64.5,1.32,0
Meat,6.1,75.4,4.39,1
Fruits,10.6,82.2,1.54,1
Eggs,4.2,51.2,3.2,1
Fruits,9.3,85.2,0.34,1
Milk,7.8,67.2,0.51,1
Vegetables,9.4,83.5,4.88,1
Milk,2.9,89.0,0.61,1
Fruits,5.6,71.6,0.4,0
Fruits,7.6,75.9,2.58,1
Fruits,12.4,82.8,1.19,1
Fruits,13.8,77.1,3.63,1
Vegetables,5.5,88.7,2.22,1
Milk,8.3,84.2,0.77,1
Vegetables,5.0,95.7,3.77,1
Fruits,10.8,77.5,3.09,1
Milk,2.8,79.4,0.56,0
Meat,6.8,73.2,0.6,1
Meat,5.6,84.4,1.78,0
Milk,7.9,67.7,4.53,1
Meat,0.1,79.9,4.71,1
Fruits,13.9,86.5,0.39,1
Meat,1.6,73.3,3.74,1
Meat,7.9,71.6,1.51,1
Fruits,11.0,87.4,2.77,1
Fruits,4.7,75.6,2.56,1
Vegetables,6.9,97.9,3.63,1
Fruits,12.1,76.5,3.13,1
Fruits,6.3,77.1,2.39,0
Eggs,8.8,65.0,2.21,1
Eggs,3.2,52.6,3.16,1
Vegetables,4.3,91.3,4.75,1
Fruits,9.0,75.7,4.49,1
Eggs,3.9,56.1,4.11,1
Milk,9.3,80.8,0.5,1
Vegetables,10.8,97.5,2.39,1
Fruits,9.9,86.6,0.09,1
Meat,6.1,91.1,2.11,1
Eggs,4.3,56.6,0.69,0
Milk,2.6,60.9,1.78,0
Eggs,9.5,67.5,2.31,1
Meat,4.4,84.0,2.31,0
Eggs,4.3,62.4,3.25,1
Fruits,11.0,72.3,0.43,1
Fruits,10.7,74.4,2.35,1
Eggs,5.0,54.8,1.46,0
Eggs,5.5,54.2,4.93,1
Vegetables,8.0,97.0,1.01,1
Milk,6.7,85.6,4.28,1
Vegetables,6.6,89.5,4.67,1
Eggs,5.1,52.1,4.78,1
Milk,2.1,72.4,2.69,1
Eggs,7.6,61.3,3.62,1
Fruits,5.9,75.2,1.21,0
Milk,9.9,82.8,1.01,1
Eggs,5.0,68.2,2.35,0
Fruits,6.5,81.1,3.82,1
Vegetables,3.1,90.6,3.81,1
Milk,7.9,66.5,4.06,1
Meat,7.0,82.1,0.9,1
Eggs,3.8,60.8,4.76,1
Fruits,8.2,70.0,3.83,1
Vegetables,10.0,91.1,3.03,1
Eggs,7.7,53.4,1.48,1
Eggs,2.7,68.3,4.08,1
Milk,7.2,63.1,4.97,1
Vegetables,9.1,82.2,2.87,1
Milk,4.2,79.6,1.96,0
Fruits,7.2,76.4,2.17,0
Meat,3.7,79.3,1.64,0
Meat,6.1,77.6,0.68,1
Vegetables,5.3,96.3,2.98,1
Vegetables,6.5,82.3,0.47,0
Meat,1.1,79.5,2.14,0
Eggs,9.6,55.6,0.85,1
Vegetables,7.9,95.4,0.63,1
Vegetables,3.2,93.2,4.7,1
Eggs,3.8,51.0,4.21,1
Fruits,4.3,80.9,0.73,0
Vegetables,6.1,82.5,2.74,1
Fruits,7.5,76.0,4.91,1
Milk,3.6,86.5,1.89,1
Fruits,14.3,73.4,1.18,1
Fruits,6.2,89.7,0.15,1
Milk,9.6,67.1,1.89,1
Meat,2.1,93.8,4.06,1
Eggs,9.2,66.3,2.48,1
Milk,2.5,60.4,3.01,1
Meat,3.9,90.1,1.0,1
Meat,2.8,79.9,0.92,0
Fruits,12.9,85.0,4.64,1
Eggs,8.0,55.4,4.35,1
Eggs,3.0,61.6,3.08,1
Eggs,3.1,67.6,2.14,0
Fruits,10.7,88.7,0.6,1
Eggs,9.3,68.1,1.77,1
Vegetables,10.1,96.9,3.71,1
Meat,6.8,89.4,2.64,1
Fruits,8.2,89.0,0.2,1
Meat,3.0,94.9,4.88,1
Fruits,9.1,75.7,3.07,1
Fruits,5.3,74.1,3.04,1
Milk,2.6,72.7,4.59,1
Vegetables,3.5,96.8,4.87,1
Fruits,4.1,89.1,4.71,1
Vegetables,5.2,88.7,0.77,1
Meat,2.7,87.6,4.96,1
Vegetables,6.9,94.8,4.01,1
Vegetables,5.1,82.2,4.48,1
Fruits,9.1,79.7,0.03,1
Fruits,14.8,82.8,4.98,1
Meat,0.8,83.2,3.57,1
Milk,8.1,75.7,4.05,1
Vegetables,8.0,95.0,3.53,1
Vegetables,3.6,81.0,1.72,0
Milk,3.3,87.9,1.41,1
Vegetables,5.4,87.2,4.04,1
Meat,3.3,79.3,1.48,0
Meat,3.4,75.8,0.01,0
Meat,0.3,73.9,2.39,0
Eggs,6.8,64.4,0.54,0
Milk,7.9,89.2,0.21,1
Meat,4.5,85.8,1.94,1
Milk,4.8,76.0,2.14,0
Fruits,4.8,84.0,1.25,0
Meat,4.5,70.8,3.58,1
Fruits,12.5,75.0,0.35,1
Milk,8.1,88.2,1.13,1
Vegetables,10.2,96.3,1.17,1
Eggs,4.3,60.9,2.11,0
Fruits,12.5,84.3,2.45,1
Meat,3.9,91.4,2.46,1
Eggs,2.4,68.3,0.28,0
Meat,1.2,81.0,0.5,0
Meat,1.2,82.8,3.58,1
Meat,7.7,92.2,4.44,1
Vegetables,11.9,93.1,4.79,1
Meat,6.9,94.2,2.69,1
Meat,1.8,94.8,0.07,1
Meat,0.4,84.4,0.82,0
Vegetables,9.8,90.8,4.0,1
Meat,7.6,83.7,2.25,1
Meat,3.7,82.6,3.41,1
Milk,7.3,76.4,1.15,1
Eggs,7.1,57.0,1.46,1
Meat,6.9,81.6,2.91,1
Vegetables,6.6,91.2,1.78,1
Vegetables,3.3,88.9,0.95,1
Milk,6.0,85.5,1.36,1
Fruits,7.7,82.2,0.66,0
Meat,3.2,87.1,1.44,1
Meat,2.1,93.3,3.78,1
Eggs,7.7,64.4,2.1,1
Meat,4.5,88.6,0.92,1
Eggs,5.5,57.0,2.17,0
Meat,3.2,77.0,1.3,0
Fruits,10.2,72.7,0.03,1
Eggs,7.3,52.5,1.2,1
Fruits,6.1,86.9,0.34,1
Fruits,12.4,77.3,1.98,1
Fruits,14.0,79.4,5.0,1
Meat,6.0,74.1,4.05,1
Fruits,10.5,73.6,1.03,1
Eggs,5.2,56.0,3.26,1
Milk,4.0,65.6,4.45,1
Fruits,6.0,72.8,0.17,0
Vegetables,3.4,83.6,4.48,1
Vegetables,8.8,84.0,0.73,1
Fruits,7.2,84.3,0.83,0
Vegetables,7.3,81.6,1.68,0
Fruits,9.3,84.7,4.59,1
Vegetables,12.0,95.5,2.94,1
Fruits,7.3,89.4,2.28,1
Eggs,3.0,53.8,1.16,0
Milk,5.0,69.4,4.56,1
Fruits,6.2,83.4,3.04,1
Fruits,13.7,79.3,4.47,1
Milk,9.0,71.1,1.15,1
Fruits,8.0,77.6,3.63,1
Eggs,3.5,57.7,4.78,1
Meat,0.1,79.1,1.06,0
Meat,3.5,92.5,0.0,1
Eggs,8.3,61.1,4.96,1
Milk,4.5,77.0,0.32,0
Eggs,7.0,67.2,4.82,1
Eggs,6.5,55.7,0.26,0
Milk,3.3,82.4,4.79,1
Fruits,7.7,83.1,2.97,1
Meat,1.7,87.3,3.63,1
Vegetables,7.5,89.7,2.03,1
Meat,7.2,77.0,1.94,1
Vegetables,2.4,84.1,1.72,0
Meat,7.2,84.4,3.54,1
Vegetables,9.3,92.6,1.27,1
Vegetables,7.3,82.5,0.48,0
Vegetables,8.1,86.2,1.77,1
Meat,6.9,86.0,1.1,1
Eggs,9.5,67.8,0.42,1
Milk,4.6,75.5,0.56,0
Vegetables,8.7,82.8,0.08,1
Vegetables,3.5,90.7,1.36,1
Fruits,7.6,72.7,3.14,1
Fruits,10.2,81.3,4.57,1
Meat,5.2,82.6,2.34,0
Vegetables,11.0,80.6,4.47,1
Vegetables,8.0,89.6,4.65,1
Meat,1.6,81.7,4.45,1
Fruits,11.3,74.7,2.6,1
Meat,4.5,80.7,0.95,0
Meat,6.3,89.0,4.62,1
Eggs,9.2,63.3,1.59,1
Vegetables,3.3,86.3,0.98,1
Vegetables,4.6,97.5,4.83,1
Vegetables,7.7,88.9,1.5,1
Vegetables,11.9,95.3,2.76,1
Eggs,2.9,55.4,0.84,0
Milk,9.9,83.4,4.28,1
Meat,2.2,77.7,1.3,0
Meat,2.0,93.5,4.64,1
Vegetables,8.7,83.9,1.79,1
Milk,3.8,83.1,3.49,1
Milk,7.8,82.6,0.41,1
Vegetables,7.5,97.8,4.2,1
Meat,6.0,73.5,2.78,1
Fruits,10.3,80.1,4.36,1
Milk,3.8,86.8,4.64,1
Meat,0.6,70.5,4.11,1
Fruits,10.8,74.9,4.19,1
Fruits,9.0,73.6,4.87,1
Meat,3.9,79.2,2.64,1
Fruits,14.5,75.4,1.38,1
Meat,4.0,76.9,4.84,1
Fruits,7.4,88.1,2.68,1
Vegetables,2.8,90.3,2.7,1
Fruits,12.9,84.4,4.94,1
Vegetables,8.2,81.1,3.02,1
Meat,4.4,73.3,3.91,1
Vegetables,5.5,86.5,4.06,1
Fruits,13.7,71.2,4.29,1
Eggs,9.6,67.9,1.97,1
Meat,3.9,76.4,2.11,0
