Product Type,Temperature (°C),Humidity (%),Shock Level (g),Risk Level
Milk,6.8,78.1,2.55,1
Vegetables,5.2,89.8,3.12,1
Fruits,14.7,89.7,2.92,1
Fruits,7.6,76.2,3.28,1
Fruits,7.3,88.4,1.33,1
Vegetables,11.7,90.4,2.93,1
Meat,7.5,88.0,3.49,1
Eggs,9.8,67.3,0.2,1
Milk,4.0,66.0,3.39,1
Fruits,9.7,86.0,3.87,1
Fruits,14.5,81.2,1.75,1
Milk,6.3,84.3,1.21,0
Meat,1.2,91.7,0.54,1
Meat,0.3,78.9,0.47,0
Vegetables,6.5,81.9,3.33,1
Eggs,5.6,60.3,0.01,0
Milk,3.5,60.4,0.28,0
Vegetables,11.1,92.8,2.54,1
Fruits,13.4,83.6,0.27,1
Vegetables,3.4,92.0,4.58,1
Eggs,6.9,54.6,2.65,1
Fruits,9.9,70.2,2.1,1
Milk,2.3,80.9,4.54,1
Milk,3.6,62.2,3.8,1
Milk,4.3,73.6,4.0,1
Fruits,14.6,88.0,4.3,1
Milk,3.4,86.5,4.96,1
Fruits,4.2,74.5,4.27,1
Fruits,5.5,87.6,2.03,1
Eggs,9.2,69.9,1.23,1
Vegetables,8.9,81.2,1.44,1
Milk,4.4,72.2,0.4,0
Vegetables,5.9,95.6,2.46,1
Milk,7.5,86.5,2.66,1
Fruits,14.1,86.7,2.32,1
Meat,3.5,78.9,0.23,0
Milk,3.1,70.4,0.44,0
Milk,4.7,85.7,3.16,1
Eggs,8.1,69.1,0.66,1
Fruits,4.4,70.1,3.13,1
Fruits,12.0,87.7,2.73,1
Eggs,2.4,68.3,2.95,1
Fruits,4.9,78.8,2.18,0
Vegetables,9.0,96.5,1.99,1
Meat,5.6,86.4,2.63,1
Milk,3.9,66.3,3.99,1
Meat,0.7,87.4,3.69,1
Fruits,11.3,72.8,3.15,1
Fruits,10.1,79.5,4.67,1
Meat,6.9,70.2,2.16,1
Fruits,12.4,71.6,0.58,1
Meat,3.0,75.1,4.17,1
Milk,6.7,84.7,3.37,1
Vegetables,8.2,96.5,3.75,1
Milk,2.1,63.4,2.96,1
Eggs,5.5,53.3,3.24,1
Meat,2.3,83.9,1.07,0
Meat,0.2,77.7,0.32,0
Fruits,7.2,72.9,2.86,1
Vegetables,9.9,91.0,3.28,1
Vegetables,5.3,84.6,0.8,0
Fruits,12.2,85.1,1.08,1
Vegetables,2.5,85.6,2.59,1
Milk,6.2,84.8,2.79,1
Fruits,13.8,75.9,3.35,1
Milk,9.1,83.6,3.28,1
Eggs,3.5,65.2,3.37,1
Meat,2.5,92.0,2.65,1
Milk,2.9,76.4,1.66,0
Meat,1.1,84.5,2.37,0
Milk,6.3,77.8,4.04,1
Meat,7.4,89.2,3.84,1
Vegetables,9.1,88.1,3.8,1
Eggs,6.6,61.4,0.2,0
Fruits,14.0,71.2,3.38,1
Meat,3.3,94.9,3.48,1
Fruits,14.6,82.1,0.63,1
Eggs,6.4,68.8,4.11,1
Milk,9.9,79.2,3.78,1
Eggs,8.7,58.8,2.61,1
Vegetables,8.0,91.5,3.45,1
Meat,6.0,70.0,2.12,0
Meat,4.5,94.0,1.23,1
Milk,3.8,76.3,3.42,1
Milk,7.4,62.1,2.39,1
Eggs,5.7,67.7,1.36,0
Fruits,4.4,84.2,3.0,1
Milk,4.2,61.6,2.67,1
Eggs,3.5,57.8,1.85,0
Vegetables,11.3,85.5,1.56,1
Milk,6.6,85.0,1.39,0
Eggs,9.1,65.7,3.71,1
Meat,1.7,94.3,0.07,1
Vegetables,7.0,92.7,2.01,1
Milk,6.5,70.7,2.62,1
Fruits,6.8,87.1,4.5,1
Eggs,7.2,59.6,3.25,1
Eggs,4.0,62.6,0.49,0
Milk,5.0,72.0,3.38,1
Eggs,8.4,51.8,1.96,1
Milk,6.1,61.9,0.68,0
Meat,5.3,87.8,3.47,1
Milk,7.8,67.9,3.76,1
Meat,2.2,74.6,1.81,0
Milk,3.5,77.9,3.16,1
Meat,3.0,70.4,4.35,1
Milk,6.8,63.7,2.39,0
Fruits,10.6,88.9,1.6,1
Fruits,5.5,88.3,0.12,1
Fruits,5.1,81.5,1.89,0
Vegetables,10.4,91.4,2.0,1
Vegetables,8.1,83.2,0.7,1
Vegetables,2.5,88.8,4.27,1
Vegetables,6.5,85.9,0.47,1
Milk,6.0,79.3,0.65,0
Fruits,11.5,81.2,2.83,1
Milk,2.8,80.3,1.51,0
Eggs,4.4,53.4,2.62,1
Fruits,9.5,79.5,4.75,1
Meat,6.9,90.1,3.78,1
Eggs,8.6,53.1,1.81,1
Milk,7.3,63.0,3.59,1
Eggs,2.3,64.2,2.65,1
Fruits,12.1,82.5,1.55,1
Vegetables,11.9,87.1,4.81,1
Milk,2.7,66.9,1.64,0
Meat,4.3,91.0,1.31,1
Meat,1.4,84.3,2.43,0
Meat,4.0,73.4,4.12,1
Milk,6.7,67.6,2.14,0
Eggs,8.0,52.6,4.27,1
Meat,2.3,87.9,1.76,1
Fruits,11.7,77.0,2.23,1
Meat,7.3,76.8,2.31,1
Milk,5.0,83.0,2.24,0
Eggs,4.2,55.3,4.71,1
Eggs,9.0,55.5,4.4,1
Fruits,5.5,77.2,1.52,0
Milk,2.1,71.2,0.91,0
Vegetables,10.4,85.0,0.49,1
Milk,7.9,86.8,1.43,1
Meat,0.8,79.6,0.38,0
Eggs,6.1,51.8,1.82,0
Milk,2.4,65.5,2.72,1
Milk,8.5,74.8,0.12,1
Fruits,13.1,73.0,2.12,1
Milk,4.2,88.0,3.34,1
Milk,2.2,73.9,1.22,0
Vegetables,4.9,91.2,3.21,1
Vegetables,4.8,97.2,2.67,1
Meat,7.9,78.2,4.01,1
Vegetables,7.0,84.3,0.58,0
Fruits,5.9,74.8,2.22,0
Eggs,7.0,51.7,1.45,0
Vegetables,4.7,91.9,1.15,1
Meat,0.9,92.7,0.21,1
Milk,6.0,65.5,0.47,0
Eggs,2.7,57.6,2.58,1
Vegetables,2.1,81.6,1.08,0
Fruits,13.6,82.8,1.61,1
Meat,1.5,71.6,3.2,1
Fruits,13.7,81.5,1.8,1
Meat,3.6,76.0,3.61,1
Meat,3.5,83.6,4.32,1
Vegetables,3.8,80.2,3.53,1
Fruits,13.2,78.9,3.34,1
Eggs,6.2,53.0,4.79,1
Meat,5.6,74.1,4.05,1
Eggs,8.8,64.0,3.87,1
Milk,2.2,71.4,0.61,0
Vegetables,6.1,88.3,3.13,1
Eggs,2.9,64.8,1.07,0
Eggs,7.3,67.6,2.84,1
Vegetables,4.3,82.0,3.8,1
Meat,2.9,83.2,0.62,0
Fruits,5.8,81.5,2.36,0
Fruits,10.9,88.6,3.12,1
Vegetables,11.7,96.1,2.18,1
Fruits,14.4,74.2,0.64,1
Milk,7.3,84.0,3.27,1
Milk,2.5,78.4,0.13,0
Fruits,9.9,87.3,0.33,1
Meat,6.2,77.8,0.08,1
Eggs,9.1,65.4,3.99,1
Vegetables,7.6,90.1,4.91,1
Meat,6.9,88.7,0.99,1
Milk,9.4,74.7,3.25,1
Fruits,9.4,80.1,1.8,1
Vegetables,10.7,84.4,3.55,1
Fruits,10.1,77.3,2.61,1
Fruits,9.9,77.3,4.91,1
Meat,5.9,83.2,3.6,1
Meat,7.6,93.2,4.26,1
Vegetables,10.9,90.0,1.22,1
Eggs,7.8,60.3,1.53,1
Vegetables,6.7,95.7,2.75,1
Milk,7.7,69.4,3.7,1
Eggs,2.3,51.8,3.77,1
Meat,6.7,72.0,3.12,1
Vegetables,10.8,87.9,4.33,1
Eggs,6.3,50.5,2.2,0
Meat,1.5,93.2,4.34,1
Milk,6.6,82.6,1.41,0
Milk,8.4,84.3,4.95,1
Vegetables,4.0,81.8,1.41,0
Vegetables,9.7,97.9,4.05,1
Fruits,5.4,82.9,1.3,0
Vegetables,4.6,93.1,1.59,1
Fruits,13.1,76.8,2.95,1
Milk,3.7,71.2,0.18,0
Meat,3.5,71.3,0.75,0
Fruits,5.4,81.1,0.76,0
Fruits,11.8,73.8,3.44,1
Vegetables,6.6,87.9,0.08,1
Fruits,7.5,86.2,0.7,1
Vegetables,6.0,82.1,4.43,1
Meat,6.5,81.9,0.87,1
Vegetables,6.7,95.3,2.08,1
Milk,10.0,83.7,0.38,1
Meat,4.3,78.6,0.45,0
Fruits,8.2,82.5,2.78,1
Meat,3.4,94.1,3.92,1
Meat,2.7,73.0,2.1,0
Milk,6.4,72.7,0.36,0
Meat,1.9,74.1,1.7,0
Fruits,6.3,79.9,0.79,0
Meat,1.3,94.4,2.32,1
Milk,3.4,88.9,0.24,1
Meat,4.3,83.9,0.36,0
Fruits,9.0,90.0,2.57,1
Fruits,6.8,86.2,3.27,1
Vegetables,6.9,82.3,4.78,1
Milk,3.3,61.7,1.23,0
Meat,6.2,85.3,2.26,1
Milk,7.0,77.8,4.14,1
Meat,4.2,86.6,4.05,1
Milk,4.1,76.1,2.46,0
Meat,3.6,78.3,2.35,0
Eggs,5.8,58.3,1.9,0
Eggs,4.4,69.9,4.2,1
Fruits,6.0,85.6,1.94,1
Vegetables,11.4,84.7,0.1,1
Milk,4.8,65.6,2.34,0
Milk,3.9,66.2,4.11,1
Fruits,14.4,72.9,0.71,1
Fruits,8.5,80.9,3.37,1
Fruits,14.9,71.4,4.1,1
Fruits,8.0,85.8,4.42,1
Fruits,7.9,72.3,3.37,1
Meat,6.0,78.8,0.87,0
Meat,3.4,72.5,3.36,1
Meat,3.0,82.0,0.78,0
Eggs,8.9,67.1,3.84,1
Meat,4.8,70.7,2.29,0
Vegetables,2.8,89.2,3.72,1
Eggs,8.9,58.2,4.74,1
Fruits,4.7,81.8,0.09,0
Meat,3.4,78.0,4.1,1
Vegetables,11.2,93.3,3.37,1
Meat,1.6,80.2,4.12,1
Fruits,4.5,73.7,4.58,1
Milk,9.9,86.1,2.46,1
Vegetables,3.6,95.0,4.11,1
Vegetables,8.3,92.3,2.49,1
Fruits,6.1,73.1,4.74,1
Eggs,5.0,52.6,4.92,1
Meat,0.8,80.0,4.09,1
Eggs,9.1,66.4,4.2,1
Fruits,14.4,89.4,1.97,1
Fruits,4.1,78.4,0.22,0
Meat,6.6,88.0,2.68,1
Milk,7.9,61.7,4.26,1
Fruits,6.2,86.6,1.53,1
Fruits,6.2,90.0,2.32,1
Eggs,7.0,67.9,3.93,1
Milk,4.1,85.1,2.75,1
Fruits,12.1,78.7,2.87,1
Fruits,6.6,85.1,1.19,1
Vegetables,2.8,88.8,0.3,1
Milk,2.9,80.4,3.29,1
Eggs,8.3,56.7,1.84,1
Milk,7.1,79.5,4.19,1
Eggs,3.0,59.5,3.41,1
Milk,5.6,66.8,4.34,1
Fruits,5.6,70.2,1.14,0
Milk,6.4,78.8,4.52,1
Eggs,9.7,64.2,0.48,1
Eggs,4.0,68.5,4.75,1
Meat,0.8,78.2,0.04,0
Milk,5.8,74.4,4.83,1
Meat,2.8,92.3,4.44,1
Milk,9.2,83.6,0.48,1
Milk,3.8,78.1,1.77,0
Vegetables,5.4,84.0,3.83,1
Meat,6.8,70.9,1.36,1
Vegetables,4.0,96.6,1.4,1
Fruits,14.1,89.6,4.06,1
Fruits,12.4,89.3,3.73,1
Meat,6.1,86.3,2.11,1
Milk,6.1,61.0,2.57,1
Fruits,4.2,72.4,4.21,1
Milk,7.8,89.0,3.19,1
Milk,5.6,70.3,4.05,1
Eggs,7.9,63.8,1.32,1
Vegetables,11.2,83.6,4.07,1
Eggs,2.6,64.5,2.02,0
Meat,2.5,79.1,2.29,0
Meat,2.5,86.7,0.2,1
Milk,6.8,62.3,3.69,1
Vegetables,6.2,88.4,0.19,1
Meat,6.9,86.6,3.88,1
Meat,3.2,92.7,4.54,1
Fruits,5.5,76.8,4.91,1
Meat,5.5,79.2,4.04,1
Eggs,2.2,61.7,3.6,1
Eggs,3.6,58.4,2.48,0
Fruits,13.9,86.2,2.7,1
Milk,7.5,68.3,1.56,1
Vegetables,5.4,91.7,4.43,1
Eggs,5.2,62.8,1.1,0
Fruits,14.8,84.2,2.91,1
Eggs,9.9,55.2,4.73,1
Milk,9.4,83.7,1.72,1
Meat,6.6,79.1,4.93,1
Eggs,8.4,65.6,2.05,1
Milk,2.6,84.0,0.08,0
Fruits,7.6,86.7,0.86,1
Fruits,6.4,82.5,2.14,0
Meat,3.7,84.3,0.54,0
Fruits,12.1,75.4,0.18,1
Eggs,7.6,51.3,2.12,1
Milk,3.8,85.6,1.13,1
Eggs,6.4,69.6,2.91,1
Fruits,8.5,79.7,3.06,1
Milk,9.0,80.9,1.25,1
Milk,5.8,83.1,3.63,1
Milk,10.0,60.2,4.14,1
Milk,6.2,85.9,4.77,1
Milk,7.0,80.5,2.06,0
Milk,6.9,61.6,4.67,1
Fruits,12.1,75.7,3.08,1
Eggs,5.0,67.9,4.82,1
Eggs,7.8,68.6,1.18,1
Eggs,4.8,54.4,4.56,1
Eggs,8.8,67.3,3.9,1
Meat,0.5,83.0,2.36,0
Milk,9.4,79.5,3.82,1
Meat,6.4,84.0,2.26,1
Fruits,6.2,72.7,2.94,1
Vegetables,2.0,89.9,2.31,1
Meat,6.7,71.2,3.51,1
Meat,4.5,74.9,0.18,0
Eggs,8.7,68.5,2.27,1
Meat,5.2,71.9,3.51,1
Eggs,2.2,69.6,3.07,1
Milk,2.8,82.7,3.33,1
Vegetables,10.7,87.3,2.47,1
Eggs,8.5,63.8,1.23,1
Meat,0.7,93.2,0.04,1
Fruits,4.4,85.3,0.48,1
Vegetables,10.5,95.8,4.58,1
Vegetables,2.5,81.3,4.38,1
Vegetables,4.6,95.2,4.71,1
Milk,7.9,89.8,1.11,1
Fruits,6.4,76.0,3.57,1
Meat,7.1,88.5,4.62,1
Fruits,10.1,73.8,4.92,1
Vegetables,3.8,97.7,4.06,1
Meat,7.7,92.3,1.53,1
Meat,3.0,74.2,3.3,1
Fruits,8.8,72.5,0.39,0
Fruits,13.9,71.9,3.91,1
Milk,9.4,82.4,1.48,1
Fruits,5.6,71.7,1.18,0
Fruits,14.5,81.1,0.97,1
Eggs,4.0,62.4,4.08,1
Milk,9.4,70.5,1.29,1
Meat,7.0,91.7,0.19,1
Vegetables,8.0,90.0,1.07,1
Meat,7.0,84.8,2.77,1
Milk,7.6,66.1,1.77,1
Fruits,11.7,80.8,3.08,1
Vegetables,12.0,80.9,1.94,1
Vegetables,4.9,95.7,3.34,1
Vegetables,11.2,95.2,3.62,1
Milk,6.7,65.9,4.12,1
Meat,2.3,80.0,3.2,1
Vegetables,3.3,86.4,1.9,1
Eggs,6.2,50.5,3.91,1
Vegetables,10.1,92.3,3.69,1
Vegetables,3.1,85.9,1.44,1
Eggs,5.5,67.2,1.16,0
Eggs,9.3,55.9,2.87,1
Eggs,7.8,61.8,3.12,1
Vegetables,9.5,82.0,1.7,1
Eggs,5.5,50.4,4.85,1
Eggs,3.2,53.4,4.77,1
Meat,5.8,73.5,4.99,1
Fruits,14.2,78.4,4.14,1
Fruits,13.6,72.3,2.17,1
Eggs,9.4,59.6,0.71,1
Milk,2.4,72.6,2.77,1
Fruits,7.5,89.9,2.96,1
Vegetables,2.6,81.7,0.18,0
Milk,8.3,69.2,4.28,1
Meat,3.9,71.9,1.85,0
Meat,4.0,83.5,2.5,0
Vegetables,5.1,93.4,1.27,1
Fruits,11.4,83.0,0.55,1
Vegetables,6.1,97.8,3.57,1
Milk,3.5,65.2,4.97,1
Milk,3.5,69.9,0.29,0
Vegetables,5.4,92.3,1.64,1
Eggs,6.8,54.8,4.89,1
Vegetables,6.0,87.5,4.95,1
Vegetables,11.6,94.4,0.78,1
Meat,8.0,82.5,3.33,1
Fruits,6.0,82.5,0.56,0
Meat,7.1,85.3,1.67,1
Fruits,9.9,73.6,4.25,1
Vegetables,9.3,91.0,1.79,1
Vegetables,10.2,95.3,4.74,1
Eggs,6.0,57.5,1.18,0
Eggs,3.0,50.5,2.19,0
Vegetables,3.4,88.1,4.14,1
Vegetables,2.2,82.6,4.45,1
Meat,7.6,73.0,3.2,1
Milk,4.6,78.2,1.55,0
Vegetables,8.7,84.3,0.5,1
Fruits,15.0,82.0,2.52,1
Vegetables,5.7,87.9,4.98,1
Vegetables,5.6,80.6,4.57,1
Fruits,5.9,76.1,1.53,0
Fruits,10.3,78.2,3.71,1
Fruits,14.9,72.4,1.29,1
Vegetables,11.9,88.0,3.23,1
Vegetables,9.0,83.1,4.88,1
Milk,5.0,79.8,0.39,0
Meat,2.9,85.9,2.13,1
Milk,7.5,63.5,3.78,1
Meat,4.8,83.8,1.03,0
Meat,0.4,76.9,4.56,1
Meat,6.3,73.9,2.03,1
Eggs,7.7,65.0,4.09,1
Meat,4.5,90.5,1.16,1
Milk,9.9,84.5,0.13,1
Milk,6.5,77.9,4.29,1
Milk,9.7,88.0,2.05,1
Fruits,7.5,86.3,2.93,1
Vegetables,8.2,90.4,3.43,1
Eggs,5.9,67.7,3.7,1
Meat,6.6,73.4,3.79,1
Fruits,9.6,75.9,3.72,1
Fruits,5.7,75.6,2.31,0
Milk,6.6,70.0,3.93,1
Milk,6.4,71.1,0.08,0
Vegetables,9.9,86.5,4.3,1
Eggs,5.4,50.3,4.99,1
Eggs,3.9,56.7,0.19,0
Fruits,9.2,77.6,0.44,1
Vegetables,6.9,89.4,3.57,1
Vegetables,7.5,89.0,1.59,1
Eggs,6.5,51.6,3.27,1
Fruits,7.6,88.2,1.01,1
Meat,1.1,83.7,1.52,0
Eggs,7.5,56.1,0.64,1
Eggs,7.0,68.2,1.49,0
Meat,6.9,93.2,0.19,1
Meat,3.7,80.9,1.35,0
Fruits,8.2,85.7,4.37,1
Milk,3.3,64.3,3.9,1
Milk,4.4,60.7,4.26,1
Eggs,8.3,54.7,4.78,1
Fruits,9.6,79.0,1.83,1
Fruits,6.5,88.1,3.94,1
Eggs,10.0,53.2,3.0,1
Eggs,6.3,57.6,4.54,1
Meat,1.9,71.0,2.89,1
Eggs,6.4,51.9,2.65,1
Milk,2.1,60.0,4.82,1
Meat,4.3,70.4,3.77,1
Vegetables,11.8,85.6,4.82,1
Fruits,5.9,72.8,3.05,1
Eggs,2.0,59.8,0.02,0
Eggs,3.1,57.9,1.4,0
Fruits,4.2,75.2,4.79,1
Fruits,12.8,75.2,4.57,1
Vegetables,9.5,88.3,4.91,1
Meat,2.3,74.4,0.93,0
Eggs,9.8,61.9,3.78,1
Meat,5.7,80.5,2.88,1
Eggs,5.8,58.5,3.0,1
Meat,3.7,93.8,2.87,1
Eggs,4.1,53.9,3.43,1
